Industry,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total,Change_Output,PctChange_Output
126 - Veneer and plywood manufacturing,0.0,35142517.26,33382650.17,68525167.43,0.0,35846985.28,32996231.07,68843216.35,318048.9199999869,0.4641344661067497
127 - Engineered wood member and truss manufacturing,0.0,42667776.38,45792874.67,88460651.06,0.0,43523095.98,45263391.54,88786487.52,325836.45999999344,0.3683405628328341
334 - Motor vehicle metal stamping,0.0,66235355.14,86173083.66,152408438.8,0.0,67563111.16,85180331.05,152743442.21,335003.4099999964,0.21980633922745516
256 - Oil and gas field machinery and equipment manufacturing,0.0,20089894.58,5727037.21,25816931.79,0.0,20492617.24,5659679.6,26152296.84,335365.05000000075,1.2990120310497237
"181 - Laminated plastics plate, sheet (except packaging), and shape manufacturing",0.0,49486441.65,55380424.06,104866865.71,0.0,50478448.42,54733468.08,105211916.5,345050.79000000656,0.32903700102395916
232 - Ornamental and architectural metal work manufacturing,0.0,47807336.55,52363614.82,100170951.37,0.0,48765683.93,51750987.21,100516671.14,345719.7699999958,0.34512976593684896
250 - Fabricated pipe and pipe fitting manufacturing,0.0,25252658.18,13038534.19,38291192.37,0.0,25758873.76,12886493.03,38645366.79,354174.4200000018,0.9249500944699932
221 - Custom roll forming,0.0,25012675.12,11532662.66,36545337.78,0.0,25514080.0,11398305.09,36912385.09,367047.3100000024,1.0043615199552887
40 - Electric power generation - Biomass,0.0,40136000.06,35560494.58,75696494.64,0.0,40940567.59,35140507.32,76081074.9,384580.26000000536,0.5080555735493505
272 - Mechanical power transmission equipment manufacturing,0.0,25324427.48,10237183.18,35561610.66,0.0,25832081.76,10117850.1,35949931.86,388321.200000003,1.0919674131542922
205 - Mineral wool manufacturing,0.0,28719617.57,15934661.42,44654278.99,0.0,29295331.93,15748912.97,45044244.9,389965.9099999964,0.8733002050874596
303 - Industrial process variable instruments manufacturing,0.0,28064865.2,14182238.45,42247103.66,0.0,28627454.38,14016215.0,42643669.38,396565.72000000626,0.9386814376472365
"131 - Other millwork, including flooring",0.0,47477885.82,46429080.1,93906965.92,0.0,48429629.02,45890088.47,94319717.49,412751.56999999285,0.4395324308013729
"271 - Speed changer, industrial high-speed drive, and gear manufacturing",0.0,29434610.2,12603250.73,42037860.92,0.0,30024657.32,12456227.35,42480884.68,443023.7599999979,1.0538684659599893
"130 - Cut stock, resawing lumber, and planing",0.0,36147985.98,23170642.04,59318628.02,0.0,36872609.65,22900899.1,59773508.75,454880.7299999967,0.7668429719018924
299 - Other electronic component manufacturing,0.0,72108040.67,83513902.53,155621943.2,0.0,73553520.73,82538707.89,156092228.62,470285.4200000167,0.30219737032561145
201 - Gypsum product manufacturing,0.0,49944690.05,44549302.76,94493992.82,0.0,50945882.89,44029914.92,94975797.81,481804.99000000954,0.5098789622720163
246 - Ball and roller bearing manufacturing,0.0,36820881.49,19838654.0,56659535.49,0.0,37558994.04,19606088.39,57165082.43,505546.9399999976,0.8922539438912679
224 - Nonferrous forging,0.0,33108427.26,13075468.48,46183895.73,0.0,33772119.84,12923451.91,46695571.75,511676.0200000033,1.1079100450757997
199 - Other concrete product manufacturing,0.0,59950551.07,58800904.21,118751455.28,0.0,61152321.72,58111082.88,119263404.59,511949.3100000024,0.43110992517345964
"279 - Industrial truck, trailer, and stacker manufacturing",0.0,31004893.93,7612922.84,38617816.76,0.0,31626419.01,7523615.48,39150034.5,532217.7400000021,1.378166309368552
148 - Asphalt shingle and coating materials manufacturing,0.0,60555506.11,57781890.1,118337396.21,0.0,61769403.7,57107457.77,118876861.47,539465.2600000054,0.4558704832770508
333 - Motor vehicle seating and interior trim manufacturing,0.0,69715261.19,73965710.66,143680971.85,0.0,71112775.52,73114344.75,144227120.27,546148.4200000167,0.3801118637826201
320 - Other communication and energy wire manufacturing,0.0,41681851.31,24382507.43,66064358.74,0.0,42517407.02,24096377.46,66613784.48,549425.7399999946,0.8316522713287666
230 - Metal window and door manufacturing,0.0,66428879.21,66774837.35,133203716.56,0.0,67760514.62,65994686.96,133755201.58,551485.0199999958,0.414016240869365
285 - Fluid power pump and motor manufacturing,0.0,35726239.75,13437600.3,49163840.04,0.0,36442409.08,13281713.72,49724122.8,560282.7599999979,1.1396236737084582
337 - Aircraft manufacturing,0.0,33172506.37,9216935.65,42389442.02,0.0,33837483.48,9114209.86,42951693.34,562251.3200000003,1.32639471813458
147 - Asphalt paving mixture and block manufacturing,0.0,54957410.52,45902555.74,100859966.26,0.0,56059088.51,45366184.66,101425273.17,565306.9099999964,0.5604869116679362
16 - Commercial logging,0.0,50558511.55,34946847.29,85505358.85,0.0,51572009.08,34539229.56,86111238.63,605879.7800000012,0.7085869098133154
188 - Other rubber product manufacturing,0.0,72457929.8,69970919.24,142428849.05,0.0,73910423.76,69157855.18,143068278.93,639429.8799999952,0.4489468841916442
210 - Steel wire drawing,0.0,49072723.96,27049719.64,76122443.6,0.0,50056437.34,26731503.3,76787940.64,665497.0400000066,0.8742455030700126
294 - Printed circuit assembly (electronic assembly) manufacturing,0.0,89450531.7,95233810.74,184684342.44,0.0,91243659.89,94119497.08,185363156.97,678814.5300000012,0.36755391444216967
338 - Aircraft engine and engine parts manufacturing,0.0,39366055.1,6257743.6,45623798.7,0.0,40155188.29,6186530.42,46341718.7,717920.0,1.573564719414738
261 - Commercial and service industry machinery manufacturing,0.0,50315366.15,24020146.72,74335512.87,0.0,51323989.57,23741828.48,75065818.05,730305.1799999923,0.9824445299478463
141 - Stationery product manufacturing,0.0,59581320.51,39060753.57,98642074.09,0.0,60775689.55,38608851.81,99384541.36,742467.2699999958,0.7526882183383293
292 - Other communications equipment manufacturing,0.0,54066533.59,26825692.59,80892226.18,0.0,55150353.03,26513321.89,81663674.92,771448.7399999946,0.9536747552025333
154 - Other basic inorganic chemical manufacturing,0.0,161960158.49,210298734.34,372258892.83,0.0,165206816.96,207833324.04,373040141.0,781248.1700000167,0.20986689238255227
237 - Hardware manufacturing,0.0,67031154.84,48122668.13,115153822.97,0.0,68374863.49,47566469.34,115941332.82,787509.849999994,0.6838764269295314
26 - Stone mining and quarrying,0.0,70740777.35,52499060.48,123239837.83,0.0,72158849.21,51883468.94,124042318.15,802480.3200000077,0.6511533398047541
31 - Support activities for oil and gas operations,0.0,46158065.9,9775339.55,55933405.46,0.0,47083351.95,9660151.92,56743503.88,810098.4200000018,1.4483266544164426
"274 - Measuring, dispensing, and other pumping equipment manufacturing",0.0,56874335.52,28499032.84,85373368.36,0.0,58014440.25,28170323.82,86184764.07,811395.7099999934,0.9504084535806565
413 - Radio and television broadcasting,0.0,786002813.66,1278526617.62,2064529431.28,0.0,801759050.93,1263647572.72,2065406623.65,877192.370000124,0.042488731655245436
321 - Wiring device manufacturing,0.0,75217345.1,48621684.73,123839029.83,0.0,76725154.38,48054622.15,124779776.53,940746.700000003,0.7596528342408793
510 - Other federal government enterprises,0.0,96679457.3,86278948.88,182958406.18,0.0,98617496.75,85285395.33,183902892.08,944485.900000006,0.5162298468378612
