Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total,Change_Employment,PctChange_Employment,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total,Post_Out_Direct,Post_Out_Indirect,Post_Out_Induced,Post_Out_Total,Change_Output,PctChange_Output
13 - Poultry and egg production,0.0,16.83,1183.26,1200.09,0.0,17.17,1169.25,1186.42,-13.669999999999845,-1.1390812355739859,0.0,14058414.66,988181354.37,1002239769.03,0.0,14340230.09,976480204.92,990820435.01,-11419334.01999998,-1.139381450713334
"130 - Cut stock, resawing lumber, and planing",0.0,90.98,58.32,149.3,0.0,92.8,57.64,150.44,1.1399999999999864,0.7635632953784235,0.0,36147985.98,23170642.04,59318628.02,0.0,36872609.65,22900899.1,59773508.75,454880.7299999967,0.7668429719018924
"131 - Other millwork, including flooring",0.0,143.22,140.05,283.27,0.0,146.09,138.43,284.52,1.25,0.44127510855367674,0.0,47477885.82,46429080.1,93906965.92,0.0,48429629.02,45890088.47,94319717.49,412751.56999999285,0.4395324308013729
132 - Wood container and pallet manufacturing,0.0,1427.82,412.5,1840.32,0.0,1456.45,407.65,1864.1,23.779999999999973,1.2921665797252637,0.0,424171301.67,122543494.56,546714796.24,0.0,432674253.01,121102805.38,553777058.38,7062262.139999986,1.291763491416419
133 - Manufactured home (mobile home) manufacturing,0.0,1.12,1.35,2.47,0.0,1.14,1.33,2.47,0.0,0.0,0.0,396722.92,479123.01,875845.93,0.0,404675.64,473538.83,878214.46,2368.5299999999115,0.27042769953842355
134 - Prefabricated wood building manufacturing,0.0,42.38,45.09,87.46,0.0,43.23,44.56,87.79,0.3300000000000125,0.3773153441573434,0.0,15537556.25,16531796.76,32069353.01,0.0,15849022.59,16338720.27,32187742.85,118389.83999999985,0.3691681586562817
135 - All other miscellaneous wood product manufacturing,0.0,105.84,168.47,274.31,0.0,107.96,166.51,274.47,0.160000000000025,0.05832816886005797,0.0,34383949.9,54732881.96,89116831.86,0.0,35073211.64,54093731.65,89166943.29,50111.43000000715,0.05623116189625185
136 - Pulp mills,0.0,6.06,11.77,17.83,0.0,6.18,11.63,17.82,-0.00999999999999801,-0.056085249579349475,0.0,5894717.39,11443199.25,17337916.64,0.0,6012883.08,11308620.57,17321503.64,-16413.0,-0.09466535305709026
137 - Paper mills,0.0,172.83,483.76,656.59,0.0,176.29,478.05,654.35,-2.240000000000009,-0.34115658173289404,0.0,154938021.34,433686490.04,588624511.39,0.0,158043913.82,428570376.13,586614289.95,-2010221.439999938,-0.3415116769862209
138 - Paperboard mills,0.0,220.14,228.49,448.63,0.0,224.55,225.82,450.37,1.740000000000009,0.38784744667097815,0.0,257043057.54,266799061.54,523842119.07,0.0,262195750.8,263671215.69,525866966.49,2024847.4200000167,0.3865377269767497
139 - Paperboard container manufacturing,0.0,914.67,1296.9,2211.57,0.0,933.0,1281.64,2214.64,3.069999999999709,0.13881541167585512,0.0,595867404.9,844877541.93,1440744946.82,0.0,607812181.75,834931990.43,1442744172.18,1999225.3600001335,0.13876330882942237
"14 - Animal production, except cattle and poultry and eggs",0.0,96.72,4021.43,4118.15,0.0,98.66,3973.93,4072.59,-45.55999999999949,-1.1063220135254785,0.0,11355080.71,472122212.76,483477293.47,0.0,11582705.02,466545179.64,478127884.66,-5349408.810000002,-1.1064446835975215
140 - Paper bag and coated and treated paper manufacturing,0.0,209.38,450.21,659.58,0.0,213.57,444.92,658.5,-1.080000000000041,-0.16374056217593633,0.0,118375295.22,254532993.77,372908288.99,0.0,120748250.13,251545799.68,372294049.81,-614239.1800000072,-0.16471588273450224
141 - Stationery product manufacturing,0.0,121.11,79.4,200.51,0.0,123.54,78.48,202.02,1.5100000000000193,0.7530796469004136,0.0,59581320.51,39060753.57,98642074.09,0.0,60775689.55,38608851.81,99384541.36,742467.2699999958,0.7526882183383293
142 - Sanitary paper product manufacturing,0.0,48.24,310.5,358.74,0.0,49.2,306.85,356.05,-2.6899999999999977,-0.7498466856218983,0.0,44892248.29,288971595.53,333863843.83,0.0,45792159.72,285569303.77,331361463.49,-2502380.339999974,-0.7495212153832866
143 - All other converted paper product manufacturing,0.0,22.34,170.02,192.36,0.0,22.79,168.02,190.81,-1.5500000000000114,-0.8057808276148946,0.0,10052783.98,76503285.57,86556069.55,0.0,10254302.41,75603032.8,85857335.21,-698734.3400000036,-0.8072620945390463
144 - Printing,0.0,3488.61,4052.95,7541.55,0.0,3558.54,4005.9,7564.44,22.889999999999418,0.3035185074686161,0.0,770278187.0,894883847.78,1665162034.78,0.0,785719207.9,884496048.45,1670215256.35,5053221.569999933,0.30346725810786107
145 - Support activities for printing,0.0,120.53,160.34,280.86,0.0,122.94,158.47,281.41,0.5500000000000114,0.195827102470986,0.0,19496531.39,25936576.26,45433107.65,0.0,19887359.48,25635226.54,45522586.01,89478.3599999994,0.19694527763609715
146 - Petroleum refineries,0.0,2841.7,535.42,3377.12,0.0,2898.67,529.11,3427.78,50.66000000000031,1.5000947552944612,0.0,27703598264.29,5219743440.74,32923341705.03,0.0,28258945471.56,5158246927.73,33417192399.29,493850694.26000214,1.5000017272990003
147 - Asphalt paving mixture and block manufacturing,0.0,39.93,33.35,73.27,0.0,40.73,32.96,73.68,0.4100000000000108,0.5595741776989366,0.0,54957410.52,45902555.74,100859966.26,0.0,56059088.51,45366184.66,101425273.17,565306.9099999964,0.5604869116679362
148 - Asphalt shingle and coating materials manufacturing,0.0,35.02,33.41,68.43,0.0,35.72,33.02,68.74,0.30999999999998806,0.45301768230306594,0.0,60555506.11,57781890.1,118337396.21,0.0,61769403.7,57107457.77,118876861.47,539465.2600000054,0.4558704832770508
149 - Petroleum lubricating oil and grease manufacturing,0.0,150.53,95.83,246.36,0.0,153.55,94.69,248.24,1.8799999999999955,0.763110894625749,0.0,239026715.02,152166726.59,391193441.62,0.0,243818252.12,150366216.28,394184468.4,2991026.7799999714,0.7645902159334803
"15 - Forestry, forest products, and timber tract production",0.0,57.41,88.25,145.66,0.0,58.56,87.21,145.78,0.12000000000000455,0.08238363311822364,0.0,6003771.32,9228203.58,15231974.9,0.0,6124123.11,9119937.04,15244060.15,12085.25,0.07934132034316838
150 - All other petroleum and coal products manufacturing,0.0,56.04,29.68,85.72,0.0,57.16,29.33,86.49,0.769999999999996,0.8982734484367663,0.0,95950393.82,50816145.06,146766538.89,0.0,97873818.45,50213901.15,148087719.61,1321180.7200000286,0.9001920533059923
151 - Petrochemical manufacturing,0.0,429.29,156.87,586.16,0.0,437.9,155.02,592.92,6.759999999999991,1.1532687320868007,0.0,3322822986.16,1214189286.34,4537012272.49,0.0,3389432400.86,1199921456.54,4589353857.41,52341584.92000008,1.1536575564798728
152 - Industrial gas manufacturing,0.0,123.28,129.29,252.57,0.0,125.75,127.77,253.52,0.950000000000017,0.37613334917053376,0.0,239711252.5,251393057.0,491104309.5,0.0,244516511.85,248450035.65,492966547.51,1862238.0099999905,0.3791939866901108
153 - Synthetic dye and pigment manufacturing,0.0,33.47,48.71,82.18,0.0,34.14,48.14,82.29,0.10999999999999943,0.13385251886103605,0.0,29903349.96,43518323.08,73421673.04,0.0,30502793.46,43010586.43,73513379.89,91706.84999999404,0.1249043316542682
154 - Other basic inorganic chemical manufacturing,0.0,133.42,173.24,306.65,0.0,136.09,171.21,307.3,0.6500000000000341,0.21196804174141012,0.0,161960158.49,210298734.34,372258892.83,0.0,165206816.96,207833324.04,373040141.0,781248.1700000167,0.20986689238255227
155 - Other basic organic chemical manufacturing,0.0,435.84,333.12,768.96,0.0,444.58,329.21,773.79,4.829999999999927,0.6281210986267072,0.0,988838746.28,755778785.8,1744617532.09,0.0,1008661039.08,746906162.23,1755567201.31,10949669.220000029,0.627625770038127
156 - Plastics material and resin manufacturing,0.0,275.03,318.95,593.98,0.0,280.54,315.2,595.75,1.7699999999999818,0.2979898313074484,0.0,450960350.32,522966473.84,973926824.16,0.0,460000315.77,516831519.19,976831834.95,2905010.790000081,0.298278137323676
157 - Synthetic rubber manufacturing,0.0,26.84,34.99,61.83,0.0,27.38,34.58,61.96,0.13000000000000256,0.2102539220443192,0.0,24784884.83,32316021.58,57100906.41,0.0,25281723.42,31937045.15,57218768.57,117862.16000000387,0.2064103136187044
158 - Artificial and synthetic fibers and filaments manufacturing,0.0,61.25,140.81,202.06,0.0,62.48,139.17,201.65,-0.4099999999999966,-0.20291002672473352,0.0,56212060.92,129222039.62,185434100.55,0.0,57338889.67,127724492.56,185063382.23,-370718.32000002265,-0.19991917284925864
159 - Nitrogenous fertilizer manufacturing,0.0,17.19,47.3,64.49,0.0,17.53,46.74,64.27,-0.21999999999999886,-0.3411381609551851,0.0,43140903.97,118723753.17,161864657.14,0.0,44005707.89,117328654.43,161334362.32,-530294.8199999928,-0.32761618834513717
16 - Commercial logging,0.0,510.84,353.1,863.94,0.0,521.08,348.98,870.07,6.1299999999999955,0.709540014352848,0.0,50558511.55,34946847.29,85505358.85,0.0,51572009.08,34539229.56,86111238.63,605879.7800000012,0.7085869098133154
160 - Phosphatic fertilizer manufacturing,0.0,11.27,29.46,40.73,0.0,11.49,29.11,40.61,-0.11999999999999744,-0.29462312791553513,0.0,18344718.56,47966941.36,66311659.91,0.0,18712457.36,47403805.17,66116262.53,-195397.37999999523,-0.29466519201177277
161 - Fertilizer mixing,0.0,15.8,41.91,57.71,0.0,16.12,41.42,57.53,-0.17999999999999972,-0.31190434933287076,0.0,12425523.18,32957989.29,45383512.47,0.0,12674605.61,32571059.3,45245664.92,-137847.54999999702,-0.3037392711529739
162 - Pesticide and other agricultural chemical manufacturing,0.0,8.38,113.76,122.14,0.0,8.55,112.41,120.96,-1.1800000000000068,-0.9661044702800121,0.0,15735662.89,213562391.21,229298054.11,0.0,16051100.49,211032696.7,227083797.19,-2214256.9200000167,-0.9656675581458629
163 - Medicinal and botanical manufacturing,0.0,30.81,418.9,449.71,0.0,31.43,413.94,445.37,-4.339999999999975,-0.9650663761090426,0.0,25138983.5,341789725.99,366928709.49,0.0,25642920.36,337744488.87,363387409.23,-3541300.2599999905,-0.9651194274010609
164 - Pharmaceutical preparation manufacturing,0.0,3.95,2503.25,2507.19,0.0,4.03,2473.34,2477.36,-29.829999999999927,-1.1897781979028286,0.0,4921302.16,3121241561.32,3126162863.48,0.0,5019954.74,3083946449.17,3088966403.91,-37196459.57000017,-1.189843945897099
165 - In-vitro diagnostic substance manufacturing,0.0,0.24,161.18,161.43,0.0,0.25,159.3,159.55,-1.8799999999999955,-1.1645914637923531,0.0,145816.93,96958433.94,97104250.87,0.0,148739.98,95827214.82,95975954.81,-1128296.0600000024,-1.1619430147404444
166 - Biological product (except diagnostic) manufacturing,0.0,0.39,54.77,55.16,0.0,0.4,54.12,54.51,-0.6499999999999986,-1.1783901377809982,0.0,302339.35,42526414.53,42828753.88,0.0,308400.06,42019843.31,42328243.37,-500510.51000000536,-1.1686319695463558
167 - Paint and coating manufacturing,0.0,223.87,199.92,423.79,0.0,228.36,197.6,425.95,2.159999999999968,0.5096864012836471,0.0,213464276.92,190621772.99,404086049.91,0.0,217743388.57,188409472.23,406152860.8,2066810.8899999857,0.5114779118111886
168 - Adhesive manufacturing,0.0,62.01,122.01,184.02,0.0,63.26,120.58,183.84,-0.18000000000000682,-0.09781545484186871,0.0,49133192.68,96665376.84,145798569.52,0.0,50118118.22,95532881.83,145651000.05,-147569.4699999988,-0.10121462129966637
169 - Soap and other detergent manufacturing,0.0,63.07,290.15,353.22,0.0,64.33,286.69,351.02,-2.2000000000000455,-0.6228412887152611,0.0,89489768.0,411716124.49,501205892.49,0.0,91283682.72,406809897.4,498093580.12,-3112312.370000005,-0.620964840324997
17 - Commercial fishing,0.0,33.94,681.09,715.03,0.0,34.62,673.11,707.74,-7.289999999999964,-1.019537641777263,0.0,2735572.66,54894764.86,57630337.52,0.0,2790410.04,54252331.14,57042741.18,-587596.3400000036,-1.0195955208419254
170 - Polish and other sanitation good manufacturing,0.0,59.76,259.54,319.3,0.0,60.96,256.45,317.4,-1.900000000000034,-0.595051675540255,0.0,38149348.12,165690638.69,203839986.81,0.0,38914091.16,163717390.43,202631481.59,-1208505.2199999988,-0.592869553669296
171 - Surface active agent manufacturing,0.0,16.11,30.17,46.28,0.0,16.43,29.81,46.25,-0.030000000000001137,-0.06482281763180886,0.0,27640755.36,51764529.99,79405285.36,0.0,28194842.82,51150887.68,79345730.5,-59554.859999999404,-0.0750011283631755
172 - Toilet preparation manufacturing,0.0,5.1,656.51,661.6,0.0,5.2,648.74,653.94,-7.659999999999968,-1.1577992744860894,0.0,4475213.52,576340238.85,580815452.37,0.0,4564923.79,569523608.5,574088532.29,-6726920.080000043,-1.158185453322746
173 - Printing ink manufacturing,0.0,43.79,57.14,100.93,0.0,44.67,56.47,101.14,0.20999999999999375,0.20806499554145816,0.0,24911434.29,32504946.55,57416380.85,0.0,25410809.69,32126274.72,57537084.42,120703.5700000003,0.21022497101539322
174 - Explosives manufacturing,0.0,16.9,17.66,34.57,0.0,17.24,17.46,34.7,0.13000000000000256,0.37604859704947224,0.0,7923811.25,8279404.27,16203215.52,0.0,8082652.22,8182799.04,16265451.26,62235.74000000022,0.384094995978923
175 - Custom compounding of purchased resins,0.0,215.14,100.09,315.23,0.0,219.45,98.91,318.36,3.1299999999999955,0.9929258002093695,0.0,151582225.13,70517874.97,222100100.1,0.0,154620847.21,69689175.01,224310022.22,2209922.120000005,0.9950117622662004
176 - Photographic film and chemical manufacturing,0.0,30.42,30.66,61.08,0.0,31.03,30.31,61.33,0.25,0.4092992796332679,0.0,27298553.95,27520597.18,54819151.13,0.0,27845781.62,27200698.86,55046480.48,227329.34999999404,0.41468965738067975
177 - Other miscellaneous chemical product manufacturing,0.0,207.65,187.41,395.07,0.0,211.82,185.22,397.03,1.9599999999999795,0.4961146126002935,0.0,179362309.6,161880055.37,341242364.98,0.0,182957812.13,159982155.24,342939967.37,1697602.3899999857,0.4974770322259022
178 - Plastics packaging materials and unlaminated film and sheet manufacturing,0.0,371.61,611.71,983.32,0.0,379.06,604.52,983.58,0.2599999999999909,0.026441036488629426,0.0,196864286.57,324060590.0,520924876.57,0.0,200810634.29,320253717.52,521064351.81,139475.24000000954,0.026774540106123602
179 - Unlaminated plastics profile shape manufacturing,0.0,91.9,128.89,220.79,0.0,93.74,127.38,221.12,0.3300000000000125,0.14946329090992008,0.0,56820871.44,79694032.31,136514903.75,0.0,57959904.43,78761401.73,136721306.16,206402.40999999642,0.15119404865712066
18 - Commercial hunting and trapping,0.0,0.21,190.27,190.48,0.0,0.22,188.02,188.24,-2.2399999999999807,-1.1759764804703805,0.0,20994.96,18889646.58,18910641.54,0.0,21415.83,18666167.01,18687582.83,-223058.7100000009,-1.1795406809873934
180 - Plastics pipe and pipe fitting manufacturing,0.0,171.97,161.03,333.0,0.0,175.42,159.14,334.56,1.5600000000000023,0.4684684684684691,0.0,152930193.11,143195071.31,296125264.42,0.0,155995836.6,141514487.47,297510324.07,1385059.6499999762,0.4677276194967006
