Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total,Change_Employment,PctChange_Employment
"439 - Architectural, engineering, and related services",0.0,5766.45,5259.49,11025.94,0.0,5882.04,5198.16,11080.2,54.26000000000022,0.49211223714259483
442 - Computer systems design services,0.0,6027.63,5259.74,11287.37,0.0,6148.46,5198.56,11347.03,59.659999999999854,0.5285553676365694
"450 - All other miscellaneous professional, scientific, and technical services",0.0,5400.02,3945.92,9345.94,0.0,5508.27,3900.27,9408.55,62.60999999999876,0.6699165626999398
461 - Waste management and remediation services,0.0,5801.17,4571.44,10372.61,0.0,5917.46,4517.85,10435.31,62.69999999999891,0.6044765975005221
335 - Other motor vehicle parts manufacturing,0.0,3612.49,697.19,4309.68,0.0,3684.9,689.04,4373.95,64.26999999999953,1.4912940171892002
239 - Machine shops,0.0,4727.82,1241.18,5968.99,0.0,4822.59,1226.67,6049.26,80.27000000000044,1.3447836233600734
496 - Electronic and precision equipment repair and maintenance,0.0,6237.9,3820.59,10058.49,0.0,6362.95,3776.22,10139.17,80.68000000000029,0.8021084675731674
"378 - Wholesale - Machinery, equipment, and supplies",0.0,5944.3,3288.86,9233.16,0.0,6063.46,3250.39,9313.85,80.69000000000051,0.8739153225981193
396 - Air transportation,0.0,8177.09,7008.45,15185.54,0.0,8341.01,6929.75,15270.75,85.20999999999913,0.5611259132042662
455 - Business support services,0.0,9713.04,8815.0,18528.03,0.0,9907.75,8712.31,18620.06,92.03000000000247,0.49670688141158276
498 - Personal and household goods repair and maintenance,0.0,7657.9,4247.45,11905.35,0.0,7811.41,4198.23,12009.64,104.28999999999905,0.8759927259593298
458 - Services to buildings,0.0,13652.76,14479.25,28132.0,0.0,13926.44,14311.42,28237.86,105.86000000000058,0.37629745485568245
432 - Automotive equipment rental and leasing,0.0,8103.28,3438.11,11541.39,0.0,8265.72,3398.69,11664.41,123.02000000000044,1.0659028072008696
382 - Wholesale - Petroleum and petroleum products,0.0,7067.35,1214.1,8281.45,0.0,7209.03,1199.85,8408.87,127.42000000000007,1.5386194446624692
375 - Wholesale - Motor vehicle and motor vehicle parts and supplies,0.0,8040.11,2420.72,10460.82,0.0,8201.28,2392.42,10593.71,132.88999999999942,1.2703593026168065
441 - Custom computer programming services,0.0,9783.87,5108.26,14892.13,0.0,9980.0,5048.61,15028.6,136.47000000000116,0.916390066431069
384 - Wholesale - Wholesale electronic markets and agents and brokers,0.0,9950.01,4618.41,14568.41,0.0,10149.46,4564.39,14713.86,145.45000000000073,0.998393098491879
497 - Commercial and industrial machinery and equipment repair and maintenance,0.0,11332.89,5174.34,16507.23,0.0,11560.07,5114.12,16674.19,166.95999999999913,1.0114355951907081
516 - Other local government enterprises,0.0,14085.02,9667.81,23752.83,0.0,14367.37,9553.11,23920.48,167.64999999999782,0.7058106339328737
433 - General and consumer goods rental except video tapes and discs,0.0,11861.87,2547.33,14409.2,0.0,12099.66,2517.76,14617.41,208.20999999999913,1.4449795963689802
55 - Maintenance and repair construction of nonresidential structures,0.0,16570.4,9364.49,25934.89,0.0,16902.57,9254.79,26157.36,222.47000000000116,0.8578019802667418
20 - Oil and gas extraction,0.0,13462.41,2829.68,16292.09,0.0,13732.27,2796.33,16528.61,236.52000000000044,1.451747443084346
"438 - Accounting, tax preparation, bookkeeping, and payroll services",0.0,21972.88,16720.63,38693.5,0.0,22413.35,16527.84,38941.19,247.69000000000233,0.6401333557315888
435 - Commercial and industrial machinery and equipment rental and leasing,0.0,13835.93,2197.42,16033.35,0.0,14113.28,2171.99,16285.27,251.92000000000007,1.5712249779366139
397 - Rail transportation,0.0,14112.8,1491.81,15604.61,0.0,14395.71,1474.35,15870.06,265.4499999999989,1.7010998672828022
452 - Office administrative services,0.0,22966.53,8897.72,31864.25,0.0,23426.91,8794.48,32221.4,357.15000000000146,1.1208485999199775
457 - Investigation and security services,0.0,28327.22,12575.32,40902.54,0.0,28895.07,12429.24,41324.31,421.7699999999968,1.0311584561741074
"427 - Insurance agencies, brokerages, and related activities",0.0,34198.79,20942.05,55140.83,0.0,34884.34,20697.65,55581.98,441.15000000000146,0.8000423642516833
"426 - Insurance carriers, except direct life",0.0,36330.0,16324.71,52654.71,0.0,37058.27,16133.26,53191.54,536.8300000000017,1.0195289272317742
451 - Management of companies and enterprises,0.0,45054.28,29793.91,74848.19,0.0,45957.44,29446.89,75404.33,556.1399999999994,0.7430239796045828
508 - Postal service,0.0,33965.2,6361.68,40326.88,0.0,34646.07,6287.54,40933.6,606.7200000000012,1.5045051836393026
"494 - Automotive repair and maintenance, except car washes",0.0,48788.58,26535.36,75323.94,0.0,49766.59,26224.29,75990.89,666.9499999999971,0.8854422644381016
429 - Other real estate,0.0,77420.82,68237.3,145658.11,0.0,78972.8,67445.29,146418.09,759.9800000000105,0.5217560491482489
391 - Retail - Gasoline stores,0.0,67047.88,14452.66,81500.55,0.0,68391.93,14283.18,82675.11,1174.5599999999977,1.4411681884355352
454 - Employment services,0.0,137640.4,40506.68,178147.08,0.0,140399.54,40035.5,180435.04,2287.960000000021,1.2843095716191482
404 - Warehousing and storage,0.0,129181.1,18496.06,147677.16,0.0,131770.66,18279.55,150050.22,2373.0599999999977,1.6069241851617388
402 - Scenic and sightseeing transportation and support activities for transportation,0.0,261574.03,10076.03,271650.05,0.0,266817.55,9959.55,276777.1,5127.049999999988,1.8873731111037855
403 - Couriers and messengers,0.0,525549.4,28014.29,553563.7,0.0,536084.58,27686.71,563771.29,10207.590000000084,1.843977486240533
