Industry,Pre_Emp_Direct,Pre_Emp_Indirect,Pre_Emp_Induced,Pre_Emp_Total
250 - Fabricated pipe and pipe fitting manufacturing,0.0,73.75,38.08,111.83
1 - Oilseed farming,0.0,72.4,693.5,765.9
210 - Steel wire drawing,0.0,71.84,39.6,111.44
303 - Industrial process variable instruments manufacturing,0.0,71.15,35.95,107.1
"271 - Speed changer, industrial high-speed drive, and gear manufacturing",0.0,71.13,30.45,101.58
"214 - Other aluminum rolling, drawing and extruding",0.0,70.1,120.98,191.08
298 - Electronic connector manufacturing,0.0,69.63,68.09,137.71
272 - Mechanical power transmission equipment manufacturing,0.0,66.47,26.87,93.34
41 - Electric power generation - All other,0.0,65.33,57.88,123.2
169 - Soap and other detergent manufacturing,0.0,63.07,290.15,353.22
322 - Carbon and graphite product manufacturing,0.0,62.39,51.61,114.0
168 - Adhesive manufacturing,0.0,62.01,122.01,184.02
"57 - Maintenance and repair construction of highways, streets, bridges, and tunnels",0.0,61.32,66.1,127.41
158 - Artificial and synthetic fibers and filaments manufacturing,0.0,61.25,140.81,202.06
"279 - Industrial truck, trailer, and stacker manufacturing",0.0,61.23,15.03,76.26
317 - Relay and industrial control manufacturing,0.0,60.86,51.03,111.89
285 - Fluid power pump and motor manufacturing,0.0,60.51,22.76,83.26
201 - Gypsum product manufacturing,0.0,60.04,53.55,113.59
374 - All other miscellaneous manufacturing,0.0,59.95,599.16,659.11
170 - Polish and other sanitation good manufacturing,0.0,59.76,259.54,319.3
511 - State government passenger transit,0.0,59.69,308.8,368.49
"266 - Special tool, die, jig, and fixture manufacturing",0.0,59.12,20.4,79.52
267 - Cutting tool and machine tool accessory manufacturing,0.0,58.44,21.47,79.91
"15 - Forestry, forest products, and timber tract production",0.0,57.41,88.25,145.66
150 - All other petroleum and coal products manufacturing,0.0,56.04,29.68,85.72
83 - Poultry processing,0.0,55.33,3345.54,3400.87
320 - Other communication and energy wire manufacturing,0.0,55.08,32.22,87.3
337 - Aircraft manufacturing,0.0,54.39,15.11,69.51
"115 - Rope, cordage, twine, tire cord and tire fabric mills",0.0,52.17,54.41,106.58
24 - Gold ore and silver ore mining,0.0,52.09,67.83,119.91
425 - Direct life insurance carriers,0.0,51.83,4708.35,4760.18
338 - Aircraft engine and engine parts manufacturing,0.0,51.7,8.22,59.92
284 - Fluid power cylinder and actuator manufacturing,0.0,51.51,26.32,77.82
4 - Fruit farming,0.0,50.9,2348.91,2399.81
324 - Automobile and light duty motor vehicle manufacturing,0.0,50.72,519.28,570.0
205 - Mineral wool manufacturing,0.0,49.73,27.59,77.33
484 - Amusement parks and arcades,0.0,49.35,3103.96,3153.31
197 - Concrete block and brick manufacturing,0.0,48.93,55.48,104.42
184 - Plastics bottle manufacturing,0.0,48.31,416.61,464.91
142 - Sanitary paper product manufacturing,0.0,48.24,310.5,358.74
490 - Other accommodations,0.0,47.81,1804.6,1852.41
221 - Custom roll forming,0.0,46.13,21.27,67.41
202 - Abrasive product manufacturing,0.0,45.57,27.13,72.69
173 - Printing ink manufacturing,0.0,43.79,57.14,100.93
313 - Major household appliance manufacturing,0.0,43.77,264.15,307.92
319 - Fiber optic cable manufacturing,0.0,43.24,45.9,89.14
134 - Prefabricated wood building manufacturing,0.0,42.38,45.09,87.46
12 - Dairy cattle and milk production,0.0,42.14,1994.36,2036.5
"217 - Nonferrous metal, except copper and aluminum, shaping",0.0,41.84,28.0,69.84
"190 - Brick, tile, and other structural clay product manufacturing",0.0,41.18,49.26,90.44
"105 - Fiber, yarn, and thread mills",0.0,41.11,124.69,165.8
"213 - Aluminum sheet, plate, and foil manufacturing",0.0,40.99,76.54,117.54
247 - Small arms ammunition manufacturing,0.0,40.39,151.37,191.75
147 - Asphalt paving mixture and block manufacturing,0.0,39.93,33.35,73.27
198 - Concrete pipe manufacturing,0.0,39.66,34.17,73.83
"249 - Small arms, ordnance, and accessories manufacturing",0.0,39.64,205.86,245.5
29 - Other nonmetallic mineral mining and quarrying,0.0,39.03,52.1,91.12
326 - Motor vehicle body manufacturing,0.0,37.49,24.59,62.07
309 - Manufacturing and reproducing magnetic and optical media,0.0,36.31,57.26,93.58
25 - Other metal ore mining,0.0,36.22,32.64,68.86
101 - Breweries,0.0,36.19,1578.12,1614.31
512 - State government electric utilities,0.0,36.07,31.92,67.99
148 - Asphalt shingle and coating materials manufacturing,0.0,35.02,33.41,68.43
256 - Oil and gas field machinery and equipment manufacturing,0.0,34.73,9.9,44.63
128 - Reconstituted wood product manufacturing,0.0,34.61,36.75,71.36
289 - Computer terminals and other computer peripheral equipment manufacturing,0.0,34.0,47.65,81.65
17 - Commercial fishing,0.0,33.94,681.09,715.03
367 - Office supplies (except paper) manufacturing,0.0,33.73,104.55,138.28
245 - Plumbing fixture fitting and trim manufacturing,0.0,33.54,40.3,73.84
153 - Synthetic dye and pigment manufacturing,0.0,33.47,48.71,82.18
"297 - Capacitor, resistor, coil, transformer, and other inductor manufacturing",0.0,32.75,57.12,89.88
108 - Nonwoven fabric mills,0.0,32.45,107.02,139.47
