Industry,Post_Emp_Direct,Post_Emp_Indirect,Post_Emp_Induced,Post_Emp_Total
299 - Other electronic component manufacturing,0.0,200.05,224.49,424.54
"419 - News syndicates, libraries, archives and all other information services",0.0,197.13,965.01,1162.14
230 - Metal window and door manufacturing,0.0,181.13,176.41,357.53
223 - Iron and steel forging,0.0,180.77,66.84,247.61
387 - Retail - Electronics and appliance stores,0.0,176.93,8359.64,8536.56
137 - Paper mills,0.0,176.29,478.05,654.35
199 - Other concrete product manufacturing,0.0,176.04,167.28,343.32
180 - Plastics pipe and pipe fitting manufacturing,0.0,175.42,159.14,334.56
"222 - Metal crown, closure, and other metal stamping (except automotive)",0.0,171.41,208.98,380.39
232 - Ornamental and architectural metal work manufacturing,0.0,166.38,176.56,342.94
38 - Electric power generation - Wind,0.0,160.07,137.4,297.47
294 - Printed circuit assembly (electronic assembly) manufacturing,0.0,159.84,164.87,324.71
26 - Stone mining and quarrying,0.0,157.99,113.59,271.58
149 - Petroleum lubricating oil and grease manufacturing,0.0,153.55,94.69,248.24
368 - Sign manufacturing,0.0,151.01,183.6,334.62
"131 - Other millwork, including flooring",0.0,146.09,138.43,284.52
334 - Motor vehicle metal stamping,0.0,143.38,180.77,324.15
237 - Hardware manufacturing,0.0,141.91,98.72,240.62
31 - Support activities for oil and gas operations,0.0,141.13,28.96,170.09
321 - Wiring device manufacturing,0.0,140.15,87.78,227.93
398 - Water transportation,0.0,139.77,802.58,942.35
333 - Motor vehicle seating and interior trim manufacturing,0.0,139.14,143.05,282.19
154 - Other basic inorganic chemical manufacturing,0.0,136.09,171.21,307.3
"208 - Iron, steel pipe and tube manufacturing from purchased steel",0.0,128.57,73.47,202.04
152 - Industrial gas manufacturing,0.0,125.75,127.77,253.52
448 - Photographic services,0.0,124.52,800.89,925.41
141 - Stationery product manufacturing,0.0,123.54,78.48,202.02
145 - Support activities for printing,0.0,122.94,158.47,281.41
315 - Motor and generator manufacturing,0.0,122.65,36.76,159.41
390 - Retail - Health and personal care stores,0.0,121.18,23151.6,23272.78
"216 - Copper rolling, drawing, extruding and alloying",0.0,119.58,71.63,191.21
318 - Battery manufacturing,0.0,118.64,402.44,521.08
"181 - Laminated plastics plate, sheet (except packaging), and shape manufacturing",0.0,114.04,123.66,237.7
509 - Federal electric utilities,0.0,113.94,97.66,211.6
"11 - Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",0.0,113.31,7589.26,7702.57
261 - Commercial and service industry machinery manufacturing,0.0,112.19,51.9,164.08
194 - Glass product manufacturing made of purchased glass,0.0,111.65,260.41,372.06
34 - Electric power generation - Hydroelectric,0.0,111.27,95.51,206.78
407 - Book publishers,0.0,108.95,640.89,749.84
135 - All other miscellaneous wood product manufacturing,0.0,107.96,166.51,274.47
114 - Textile bag and canvas mills,0.0,106.6,244.2,350.8
392 - Retail - Clothing and clothing accessories stores,0.0,105.27,22174.21,22279.48
292 - Other communications equipment manufacturing,0.0,103.48,49.75,153.22
209 - Rolled steel shape manufacturing,0.0,102.34,58.34,160.68
127 - Engineered wood member and truss manufacturing,0.0,100.67,104.7,205.37
"274 - Measuring, dispensing, and other pumping equipment manufacturing",0.0,100.66,48.88,149.54
183 - Urethane and other foam product (except polystyrene) manufacturing,0.0,100.03,346.21,446.24
"264 - Air conditioning, refrigeration, and warm air heating equipment manufacturing",0.0,99.48,189.42,288.89
246 - Ball and roller bearing manufacturing,0.0,98.83,51.59,150.42
"14 - Animal production, except cattle and poultry and eggs",0.0,98.66,3973.93,4072.59
179 - Unlaminated plastics profile shape manufacturing,0.0,93.74,127.38,221.12
"130 - Cut stock, resawing lumber, and planing",0.0,92.8,57.64,150.44
125 - Wood preservation,0.0,89.91,44.85,134.76
226 - Handtool manufacturing,0.0,89.33,163.98,253.31
182 - Polystyrene foam product manufacturing,0.0,88.87,270.7,359.57
"369 - Gasket, packing, and sealing device manufacturing",0.0,86.13,126.05,212.18
"408 - Directory, mailing list, and other publishers",0.0,85.84,235.72,321.56
"22 - Copper, nickel, lead, and zinc mining",0.0,85.15,145.04,230.19
195 - Cement manufacturing,0.0,84.02,38.35,122.37
102 - Wineries,0.0,83.4,1158.2,1241.6
126 - Veneer and plywood manufacturing,0.0,82.72,76.14,158.86
27 - Sand and gravel mining,0.0,81.74,74.89,156.63
412 - Sound recording industries,0.0,79.74,271.98,351.72
