Industry,Pre_Out_Direct,Pre_Out_Indirect,Pre_Out_Induced,Pre_Out_Total
"88 - Bread and bakery product, except frozen, manufacturing",0.0,14801047.29,1040710107.83,1055511155.13
77 - Cheese manufacturing,0.0,27620822.78,1008010051.51,1035630874.29
479 - Commercial Sports Except Racing,0.0,155083902.43,875692414.44,1030776316.87
440 - Specialized design services,0.0,416888669.93,607116407.55,1024005077.49
13 - Poultry and egg production,0.0,14058414.66,988181354.37,1002239769.03
449 - Veterinary services,0.0,890077.72,986101041.75,986991119.47
156 - Plastics material and resin manufacturing,0.0,450960350.32,522966473.84,973926824.16
"393 - Retail - Sporting goods, hobby, musical instrument and book stores",0.0,24403538.4,932105226.75,956508765.16
2 - Grain farming,0.0,87550092.28,862999949.85,950550042.13
64 - Soybean and other oilseed processing,0.0,78828054.28,870165751.1,948993805.38
398 - Water transportation,0.0,135600437.45,803247645.21,938848082.66
"443 - Other computer related services, including facilities management",0.0,442553024.87,459267423.24,901820448.11
"417 - Satellite, telecommunications resellers, and all other telecommunications",0.0,327624385.19,535569173.85,863193559.04
273 - Other engine equipment manufacturing,0.0,752745478.2,104664774.01,857410252.21
471 - Other ambulatory health care services,0.0,1176159.73,845994741.86,847170901.59
242 - Metal coating and nonprecious engraving,0.0,714639923.92,126359199.42,840999123.34
59 - Other animal food manufacturing,0.0,19467624.53,788622782.54,808090407.07
513 - Other state government enterprises,0.0,455316759.39,311562862.97,766879622.36
98 - All other food manufacturing,0.0,4875066.82,743512576.5,748387643.32
332 - Motor vehicle transmission and power train parts manufacturing,0.0,505393092.92,236625038.52,742018131.44
38 - Electric power generation - Wind,0.0,388428574.9,344147703.13,732576278.04
79 - Fluid milk manufacturing,0.0,10193760.19,720104265.63,730298025.82
12 - Dairy cattle and milk production,0.0,14616535.23,691802966.86,706419502.09
478 - Performing arts companies,0.0,58098899.28,636742067.92,694840967.21
453 - Facilities support services,0.0,474377284.76,194346095.64,668723380.4
487 - Fitness and recreational sports centers,0.0,12634122.41,649424606.66,662058729.06
387 - Retail - Electronics and appliance stores,0.0,12761871.62,622367543.3,635129414.92
104 - Tobacco manufacturing,0.0,29481.65,620654781.92,620684263.57
58 - Dog and cat food manufacturing,0.0,142564.23,596227204.79,596369769.02
137 - Paper mills,0.0,154938021.34,433686490.04,588624511.39
172 - Toilet preparation manufacturing,0.0,4475213.52,576340238.85,580815452.37
93 - Other snack food manufacturing,0.0,8382294.44,554663942.08,563046236.53
495 - Car washes,0.0,33757883.69,517103564.78,550861448.47
132 - Wood container and pallet manufacturing,0.0,424171301.67,122543494.56,546714796.24
501 - Dry-cleaning and laundry services,0.0,117048784.93,426466131.64,543514916.58
101 - Breweries,0.0,11934928.31,520459005.18,532393933.49
21 - Coal mining,0.0,275563842.97,251975904.37,527539747.34
138 - Paperboard mills,0.0,257043057.54,266799061.54,523842119.07
407 - Book publishers,0.0,73846849.54,448291084.44,522137933.97
178 - Plastics packaging materials and unlaminated film and sheet manufacturing,0.0,196864286.57,324060590.0,520924876.57
331 - Motor vehicle electrical and electronic equipment manufacturing,0.0,326449865.59,182470238.0,508920103.6
169 - Soap and other detergent manufacturing,0.0,89489768.0,411716124.49,501205892.49
63 - Wet corn milling,0.0,60445942.99,440555869.41,501001812.4
152 - Industrial gas manufacturing,0.0,239711252.5,251393057.0,491104309.5
"14 - Animal production, except cattle and poultry and eggs",0.0,11355080.71,472122212.76,483477293.47
186 - Tire manufacturing,0.0,285532888.09,197130761.51,482663649.6
406 - Periodical publishers,0.0,133452224.69,340235312.34,473687537.03
228 - Fabricated structural metal manufacturing,0.0,315164369.99,155997192.33,471161562.33
74 - Canned fruits and vegetables manufacturing,0.0,6801728.39,445260187.2,452061915.59
507 - Private households,0.0,0.0,441199830.46,441199830.46
102 - Wineries,0.0,28533792.18,408844417.54,437378209.72
124 - Sawmills,0.0,278738260.37,153896895.43,432635155.8
73 - Frozen specialties manufacturing,0.0,2368100.71,416385341.75,418753442.45
3 - Vegetable and melon farming,0.0,1770864.52,408262392.05,410033256.57
167 - Paint and coating manufacturing,0.0,213464276.92,190621772.99,404086049.91
1 - Oilseed farming,0.0,37127558.94,355648295.36,392775854.29
149 - Petroleum lubricating oil and grease manufacturing,0.0,239026715.02,152166726.59,391193441.62
412 - Sound recording industries,0.0,86141619.29,303218294.6,389359913.9
"244 - Valve and fittings, other than plumbing, manufacturing",0.0,309019589.15,75613697.0,384633286.15
405 - Newspaper publishers,0.0,85991312.63,295874082.71,381865395.34
484 - Amusement parks and arcades,0.0,5898989.55,371023743.0,376922732.54
140 - Paper bag and coated and treated paper manufacturing,0.0,118375295.22,254532993.77,372908288.99
154 - Other basic inorganic chemical manufacturing,0.0,161960158.49,210298734.34,372258892.83
163 - Medicinal and botanical manufacturing,0.0,25138983.5,341789725.99,366928709.49
318 - Battery manufacturing,0.0,81028630.59,283723073.53,364751704.12
"243 - Electroplating, anodizing, and coloring metal",0.0,306660807.99,57024247.62,363685055.61
65 - Fats and oils refining and blending,0.0,39863389.92,318086515.87,357949905.79
509 - Federal electric utilities,0.0,188985870.2,167202875.54,356188745.74
37 - Electric power generation - Solar,0.0,187606501.68,166219353.62,353825855.3
"78 - Dry, condensed, and evaporated dairy product manufacturing",0.0,6269442.55,345785150.27,352054592.82
103 - Distilleries,0.0,14436317.03,332154328.53,346590645.56
